ecran;note;lignes;champs_lies;regles_sur_controle;sql_en_dur;pilotage_affichage;validations_sur_champ;evenements
PROC_SIGNJUD;159.1;5416;0;4;16;54;1;0
PROC_EDI_RPVAINS;163.8;4957;11;14;10;27;12;6
PROC_EDI_RPJC_TRCNC;169.8;2959;0;11;21;34;0;4
PROC_REDAA;173.5;2893;33;20;1;73;0;22
PROC_LISTEEXCEL;202.9;2587;4;13;17;68;3;9
PROC_RELCLI;206.7;2936;0;0;39;15;7;7
PROC_ENV_JAL;207.2;4035;0;13;2;132;0;8
PROC_MJUDS (Obsolete);209.7;4748;17;12;2;134;0;8
PROC_COURRIERM;211.0;3794;0;0;16;103;4;17
PROC_ACTEUR_JUD;217.6;2924;88;18;4;85;19;10
PROC_NUM;222.2;5239;11;19;6;98;2;13
PROC_FACTURE;229.6;4719;12;29;2;50;22;17
PROC_DCA;230.5;6904;0;12;5;63;36;5
PROC_REDA;232.8;3762;16;31;0;109;2;8
PROC_EDIT_MAQUETTE;233.0;2203;28;21;14;67;10;16
PROC_GTABREF;241.3;6270;136;16;10;54;12;44
PROC_TARIFS;251.9;1778;0;0;52;31;0;4
PROC_DBEN;278.6;7327;20;10;20;115;0;17
PROC_ARTICLE;302.7;3731;6;7;33;102;7;15
PROC_DEV;312.6;3913;12;17;23;123;0;27
PROC_ORDOSIGN;313.9;4990;1;1;32;131;13;1
PROC_CLOT;327.4;5877;0;5;29;129;13;12
PROC_ACCUEIL;330.9;10371;0;0;8;186;0;61
PROC_VDOSSIER;345.0;13007;0;2;18;166;3;30
PROC_DEMANDE;365.8;3967;0;6;41;125;0;39
PROC_WIKI;401.8;10358;4;10;11;189;2;83
PROC_RETOURLRAR;429.1;6627;0;13;47;144;2;21
PROC_INTEGCREANCE;483.7;15937;52;25;2;170;45;61
PROC_TABLEAU_LOT3;497.6;11319;17;40;10;210;24;23
PROC_IPSUIVI;567.6;4528;2;96;0;222;4;27
PROC_COFFRE_FORT;576.1;7223;0;7;81;174;0;21
PROC_DEMO;644.4;11277;0;8;52;263;0;93
PROC_GEDJUD;651.3;8264;19;84;19;186;28;40
PROC_GCOM;770.8;12956;0;5;127;177;0;6
PROC_RETAUD;989.8;22166;24;32;38;555;8;60
